 BusinessId , FinancialYearId , Revenue , TaxPayable 
 727 , 6 , 47927 , 59 
 818 , 7 , 8947 , 13401 
 769 , 7 , 27561 , 34112 
 559 , 5 , 50953 , 25304 
 207 , 2 , 68019 , 4608 
 4 , 5 , 27751 , 5299 
 907 , 8 , 28260 , 25573 
 443 , 4 , 24417 , 26105 
 978 , 8 , 71220 , 29257 
 274 , 3 , 82020 , 6613 
 292 , 3 , 6185 , 27951 
 468 , 4 , 64148 , 14777 
 633 , 6 , 60664 , 10293 
 470 , 4 , 44119 , 33651 
 983 , 8 , 55162 , 8805 
 31 , 1 , 35459 , 34269 
 863 , 7 , 28459 , 24673 
 996 , 8 , 26983 , 31145 
 678 , 6 , 49193 , 18165 
 315 , 3 , 7139 , 16051 
 817 , 7 , 55810 , 24184 
 849 , 7 , 13695 , 13380 
 992 , 8 , 81896 , 34579 
 33 , 1 , 57276 , 32274 
 700 , 6 , 75876 , 29987 
 527 , 5 , 76787 , 14387 
 935 , 8 , 84814 , 24777 
 688 , 6 , 75524 , 13120 
 547 , 5 , 83611 , 3931 
 82 , 1 , 19759 , 103 
 188 , 2 , 22954 , 20955 
 454 , 4 , 80883 , 2528 
 298 , 3 , 30095 , 24608 
 989 , 8 , 41723 , 15481 
 643 , 6 , 81234 , 5653 
 763 , 7 , 87468 , 32131 
 16 , 1 , 52461 , 12353 
 382 , 4 , 58232 , 9233 
 344 , 3 , 58128 , 26339 
 958 , 8 , 53588 , 3629 
 506 , 5 , 570 , 27069 
 716 , 6 , 20449 , 16881 
 119 , 1 , 28900 , 30141 
 10 , 3 , 53927 , 22835 
 908 , 8 , 7869 , 21208 
 795 , 7 , 75841 , 22367 
 338 , 3 , 11077 , 15785 
 458 , 4 , 82355 , 29373 
 147 , 2 , 64908 , 26137 
 222 , 2 , 21714 , 12226 
 411 , 4 , 38380 , 17499 
 719 , 6 , 75825 , 7313 
 620 , 5 , 67102 , 13922 
 488 , 4 , 82629 , 1050 
 195 , 2 , 87678 , 2695 
 879 , 8 , 34231 , 21679 
 826 , 7 , 27052 , 13823 
 736 , 6 , 70286 , 1837 
 859 , 7 , 75078 , 30318 
 680 , 6 , 91232 , 25222 
 625 , 5 , 42938 , 15523 
 219 , 2 , 52737 , 12453 
 896 , 8 , 40807 , 22174 
 897 , 8 , 51460 , 29154 
 87 , 1 , 59066 , 20658 
 839 , 7 , 25302 , 25422 
 171 , 2 , 34052 , 25169 
 645 , 6 , 18940 , 29813 
 827 , 7 , 62885 , 27998 
 220 , 2 , 67695 , 11675 
 1000 , 8 , 82999 , 21916 
 482 , 4 , 70227 , 15440 
 653 , 6 , 68855 , 4805 
 720 , 6 , 95605 , 14536 
 810 , 7 , 6569 , 23982 
 101 , 1 , 35360 , 7302 
 730 , 6 , 84795 , 18240 
 52 , 6 , 27968 , 11743 
 126 , 2 , 49406 , 11066 
 906 , 8 , 35 , 7620 
 190 , 2 , 65710 , 33603 
 477 , 4 , 2458 , 30404 
 541 , 5 , 10616 , 21983 
 326 , 3 , 61896 , 26706 
 672 , 6 , 81380 , 17604 
 469 , 4 , 47129 , 13642 
 834 , 7 , 13780 , 23606 
 75 , 7 , 47467 , 23557 
 794 , 7 , 54046 , 12785 
 765 , 7 , 47002 , 18974 
 938 , 8 , 60415 , 18308 
 295 , 3 , 82176 , 10516 
 523 , 5 , 83155 , 13916 
 664 , 6 , 66897 , 1117 
 333 , 3 , 10650 , 23106 
 287 , 3 , 47834 , 14616 
 821 , 7 , 79643 , 29708 
 223 , 2 , 77441 , 986 
 187 , 2 , 94862 , 2177 
 69 , 1 , 82568 , 30786 
 61 , 5 , 41788 , 32198 
 694 , 6 , 92138 , 20973 
 631 , 6 , 19470 , 1375 
 928 , 8 , 97214 , 14462 
 50 , 2 , 38716 , 25311 
 929 , 8 , 68153 , 2059 
 67 , 1 , 6969 , 2507 
 901 , 8 , 71498 , 34387 
 679 , 6 , 76060 , 12068 
 94 , 1 , 52317 , 30393 
 150 , 2 , 49437 , 3439 
 107 , 1 , 99084 , 2079 
 610 , 5 , 20879 , 25772 
 954 , 8 , 75042 , 22697 
 491 , 4 , 25521 , 26620 
 149 , 2 , 40480 , 20119 
 19 , 6 , 42120 , 25471 
 570 , 5 , 78911 , 30469 
 226 , 2 , 70081 , 11549 
 619 , 5 , 11936 , 7016 
 6 , 1 , 11521 , 1816 
 361 , 3 , 86586 , 1611 
 851 , 7 , 64894 , 17027 
 63 , 1 , 15882 , 9023 
 282 , 3 , 7279 , 28368 
 705 , 6 , 822 , 11399 
 959 , 8 , 87073 , 1523 
 34 , 8 , 1957 , 3688 
 388 , 4 , 84955 , 26430 
 93 , 5 , 58735 , 9366 
 281 , 3 , 55717 , 12595 
 507 , 5 , 7353 , 17253 
 532 , 5 , 33107 , 9566 
 58 , 1 , 66839 , 15280 
 131 , 3 , 58248 , 10423 
 497 , 4 , 73573 , 12629 
 847 , 7 , 82988 , 29029 
 614 , 5 , 13403 , 7521 
 105 , 1 , 23180 , 1394 
 743 , 6 , 13226 , 15544 
 402 , 4 , 40159 , 11134 
 934 , 8 , 42283 , 24220 
 131 , 2 , 71408 , 11489 
 25 , 6 , 1728 , 17393 
 616 , 5 , 97566 , 15534 
 831 , 7 , 61331 , 16228 
 686 , 6 , 61296 , 19745 
 118 , 5 , 8112 , 26219 
 173 , 2 , 41375 , 9497 
 185 , 2 , 70170 , 2986 
 113 , 5 , 5714 , 24145 
 251 , 3 , 732 , 34239 
 998 , 8 , 7360 , 24438 
 569 , 5 , 82925 , 30161 
 64 , 1 , 71046 , 28970 
 264 , 3 , 55202 , 30586 
 843 , 7 , 27243 , 3945 
 154 , 5 , 3587 , 27352 
 646 , 6 , 89934 , 21094 
 517 , 5 , 37893 , 13911 
 971 , 8 , 81081 , 536 
 78 , 1 , 5012 , 33820 
 513 , 5 , 86543 , 7956 
 156 , 2 , 17324 , 2702 
 814 , 7 , 96600 , 17797 
 35 , 6 , 42083 , 21187 
 576 , 5 , 65977 , 27513 
 553 , 5 , 54041 , 10491 
 673 , 6 , 16794 , 12274 
 995 , 8 , 51949 , 13990 
 302 , 3 , 57492 , 26091 
 65 , 1 , 28717 , 17950 
 466 , 4 , 55730 , 29074 
 484 , 4 , 56854 , 31005 
 217 , 2 , 71778 , 30883 
 72 , 1 , 69238 , 12596 
 231 , 2 , 15178 , 25123 
 151 , 2 , 63165 , 34634 
 447 , 4 , 18317 , 28489 
 452 , 4 , 45948 , 12139 
 20 , 1 , 39527 , 26655 
 389 , 4 , 78961 , 10304 
 21 , 7 , 60582 , 29191 
 203 , 2 , 14784 , 23443 
 914 , 8 , 53021 , 20222 
 30 , 1 , 54985 , 13357 
 510 , 5 , 99994 , 27815 
 963 , 8 , 50182 , 14405 
 994 , 8 , 95794 , 21311 
 17 , 1 , 3045 , 14837 
 654 , 6 , 46330 , 8684 
 279 , 3 , 79401 , 1676 
 968 , 8 , 23469 , 21427 
 588 , 5 , 85288 , 22484 
 773 , 7 , 32146 , 15008 
 325 , 3 , 35147 , 12314 
 421 , 4 , 55741 , 16263 
 975 , 8 , 54083 , 8787 
 886 , 8 , 5128 , 34597 
 973 , 8 , 55482 , 29348 
 256 , 3 , 95355 , 23715 
 133 , 2 , 7255 , 9254 
 898 , 8 , 91318 , 13944 
 179 , 2 , 89427 , 30508 
 883 , 8 , 12678 , 11896 
 545 , 5 , 76997 , 6195 
 786 , 7 , 45002 , 5164 
 515 , 5 , 50506 , 28433 
 353 , 3 , 11147 , 34279 
 23 , 8 , 1807 , 16373 
 34 , 1 , 40023 , 5462 
 692 , 6 , 64078 , 4311 
 122 , 1 , 85270 , 33863 
 55 , 2 , 43985 , 8954 
 136 , 4 , 98366 , 22257 
 582 , 5 , 2119 , 25232 
 262 , 3 , 44430 , 4629 
 311 , 3 , 71759 , 19513 
 243 , 2 , 64304 , 17481 
 785 , 7 , 41615 , 4440 
 134 , 2 , 42090 , 28372 
 613 , 5 , 15794 , 13108 
 560 , 5 , 58248 , 24180 
 656 , 6 , 13748 , 32438 
 342 , 3 , 5619 , 5305 
 24 , 1 , 78092 , 24414 
 98 , 1 , 5247 , 31523 
 878 , 8 , 70443 , 6590 
 711 , 6 , 24708 , 15997 
 893 , 8 , 36630 , 18568 
 652 , 6 , 13497 , 31333 
 201 , 3 , 61096 , 16336 
 265 , 3 , 58037 , 37 
 475 , 4 , 62836 , 34142 
 196 , 2 , 50594 , 23424 
 888 , 8 , 32272 , 17401 
 492 , 4 , 87643 , 31361 
 638 , 6 , 71156 , 33683 
